Date,GPPObs,TERObs,NEEObs,GPPAss,TERAss,NEPAss
2011-01-01 00:00:00,2.17,-1.65,0.52,1.5363,-1.522,0.0143
2011-01-02 00:00:00,2.18,-1.65,0.52,1.6439,-1.4967,0.1472
2011-01-03 00:00:00,2.21,-1.74,0.46,1.7314,-1.5099,0.2215
2011-01-04 00:00:00,2.24,-1.83,0.4,1.9181,-1.5387,0.3794
2011-01-05 00:00:00,1.72,-1.81,0.19,1.7235,-1.538,0.1855
2011-01-06 00:00:00,1.66,-1.78,0.13,1.6627,-1.5346,0.1281
2011-01-07 00:00:00,3.04,-1.78,1.25,1.3468,-1.5273,-0.1805
2011-01-08 00:00:00,2.6,-1.93,0.67,2.0198,-1.5579,0.4619
2011-01-09 00:00:00,2.15,-1.75,0.6,2.1533,-1.5495,0.6038
2011-01-10 00:00:00,1.45,-1.78,-0.02,1.4518,-1.47,-0.0182
2011-01-11 00:00:00,2.03,-1.62,0.52,2.0295,-1.5142,0.5153
2011-01-12 00:00:00,2.18,-1.66,0.52,1.8202,-1.5187,0.3015
2011-01-13 00:00:00,3.68,-1.76,1.93,2.2543,-1.5763,0.678
2011-01-14 00:00:00,3.17,-1.85,1.32,2.1378,-1.5438,0.594
2011-01-15 00:00:00,2.76,-1.75,1.02,2.1873,-1.548,0.6393
2011-01-16 00:00:00,2.36,-1.65,0.71,2.2149,-1.5465,0.6684
2011-01-17 00:00:00,2.05,-1.62,0.43,2.2231,-1.5471,0.676
2011-01-18 00:00:00,3.41,-1.8,1.61,2.2486,-1.5519,0.6967
2011-01-19 00:00:00,3.78,-1.85,1.92,2.2713,-1.5544,0.7169
2011-01-20 00:00:00,4.14,-1.91,2.24,2.2965,-1.5561,0.7404
2011-01-21 00:00:00,3.27,-1.86,1.42,1.8197,-1.4851,0.3346
2011-01-22 00:00:00,2.4,-1.81,0.59,2.3222,-1.5565,0.7657
2011-01-23 00:00:00,2.38,-1.72,0.67,2.6766,-1.5855,1.0911
2011-01-24 00:00:00,2.36,-1.62,0.74,2.2692,-1.5339,0.7353
2011-01-25 00:00:00,3.49,-1.86,1.62,2.0805,-1.5578,0.5227
2011-01-26 00:00:00,2.25,-1.55,0.7,2.2505,-1.5462,0.7043
2011-01-27 00:00:00,2.31,-1.55,0.76,2.3116,-1.5514,0.7602
