model,resolution,scenario,forest_type,variable,year,filepath
CESM2,100km,ssp126,Broadleaf,GPP,2015,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2015.tif
CESM2,100km,ssp126,Broadleaf,GPP,2016,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2016.tif
CESM2,100km,ssp126,Broadleaf,GPP,2017,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2017.tif
CESM2,100km,ssp126,Broadleaf,GPP,2018,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2018.tif
CESM2,100km,ssp126,Broadleaf,GPP,2019,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2019.tif
CESM2,100km,ssp126,Broadleaf,GPP,2020,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2020.tif
CESM2,100km,ssp126,Broadleaf,GPP,2021,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2021.tif
CESM2,100km,ssp126,Broadleaf,GPP,2022,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2022.tif
CESM2,100km,ssp126,Broadleaf,GPP,2023,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2023.tif
CESM2,100km,ssp126,Broadleaf,GPP,2024,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2024.tif
CESM2,100km,ssp126,Broadleaf,GPP,2025,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2025.tif
CESM2,100km,ssp126,Broadleaf,GPP,2026,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2026.tif
CESM2,100km,ssp126,Broadleaf,GPP,2027,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2027.tif
CESM2,100km,ssp126,Broadleaf,GPP,2028,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2028.tif
CESM2,100km,ssp126,Broadleaf,GPP,2029,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2029.tif
CESM2,100km,ssp126,Broadleaf,GPP,2030,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2030.tif
CESM2,100km,ssp126,Broadleaf,GPP,2031,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2031.tif
CESM2,100km,ssp126,Broadleaf,GPP,2032,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2032.tif
CESM2,100km,ssp126,Broadleaf,GPP,2033,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2033.tif
CESM2,100km,ssp126,Broadleaf,GPP,2034,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2034.tif
CESM2,100km,ssp126,Broadleaf,GPP,2035,E:\Personal\2023_Tengjiayin\CorrectCIMP6\100\CESM2\ssp126\Broadleaf\0_251\Region\Ann\GPP_2035.tif
